"accountHolderID","bankAccount","investiment","customerStability","overdraftLimit","multipleChannel","serviceLoan","bankGuarantee","contract","paymentMethod","monthlyCharges","totalCharges","churn"
"1342-JPNKI","PF","Não","10","Sim","Sim","Mesa","0","Semestral","Transferência bancária","86.05","834.1","Sim"
"2817-NTQDO","PF","Não","13","Sim","Somente telefone","Website","0","Semestral","Boleto","45.55","597","Sim"
"7129-AZJDE","PF","Sim","34","Sim","Não","Mesa","0","Uma vez ao ano","Transferência bancária","78.95","2647.2","Não"
"6986-IJDHX","PF","Sim","39","Sim","Não","Mesa","0","Semestral","PIX","86.3","3266","Sim"
"2560-PPCHE","PJ","Não","65","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","105.05","6744.25","Não"
"4676-MQUEA","PF","Sim","50","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","101.9","5265.5","Não"
"8138-EALND","PF","Não","15","Não","Não","Não","0","Semestral","PIX","19.75","311.6","Não"
"3580-HYCSP","PF","Sim","72","Sim","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","110.3","7966.9","Não"
"1352-HNSAW","PJ","Sim","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","115.6","8220.4","Não"
"2075-PUEPR","PF","Sim","55","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","19.35","1153.25","Não"
"1982-FEBTD","PJ","Sim","23","Sim","Sim","Não","0","Duas vezes ao ano","Boleto","25.6","514.75","Não"
"5301-GAUUY","PF","Não","32","Sim","Sim","Mesa","0","Semestral","Transferência bancária","80.35","2596.15","Sim"
"5791-KAJFD","PJ","Sim","56","Sim","Sim","Website","1","Uma vez ao ano","Transferência bancária","68.75","3808","Não"
"2654-VBVPB","PJ","Não","1","Não","Não","Não","0","Semestral","Transferência bancária","19.9","19.9","Não"
"1154-HYWWO","PF","Não","38","Não","Não","Website","0","Uma vez ao ano","PIX","70.6","2708.2","Não"
"2501-XWWTZ","PF","Não","11","Não","Não","Mesa","0","Semestral","Débito automático","70.2","760.05","Não"
"3716-UVSPD","PF","Não","1","Sim","Não","Website","0","Semestral","Débito automático","49.3","49.3","Não"
"6815-ABQFQ","PF","Sim","56","Sim","Sim","Mesa","0","Uma vez ao ano","Débito automático","107.25","6033.3","Não"
"7343-EOBEU","PF","Sim","3","Sim","Sim","Não","0","Semestral","PIX","23.6","89.05","Não"
"3701-SFMUH","PF","Sim","7","Não","Não","Website","0","Semestral","Boleto","69.7","516.15","Não"
"6103-LIANB","PF","Sim","59","Sim","Sim","Mesa","0","Duas vezes ao ano","Boleto","99.5","5861.75","Não"
"7319-VENRZ","PF","Não","7","Não","Não","Website","0","Semestral","Transferência bancária","64.3","445.95","Não"
"5846-NEQVZ","PF","Sim","71","Sim","Não","Website","0","Duas vezes ao ano","Boleto","70.85","4973.4","Não"
"6967-QIQRV","PF","Sim","15","Não","Não","Mesa","0","Uma vez ao ano","Débito automático","101.9","1667.25","Não"
"5781-RFZRP","PF","Sim","71","Não","Sim","Website","0","Duas vezes ao ano","Boleto","73.5","5357.75","Não"
"0939-YAPAF","PJ","Não","35","Sim","Sim","Mesa","1","Semestral","Débito automático","100.25","3527.6","Sim"
"0308-IVGOK","PJ","Não","11","Sim","Somente telefone","Website","0","Uma vez ao ano","Boleto","40.4","422.6","Não"
"7293-LSCDV","PJ","Sim","60","Sim","Não","Não","0","Duas vezes ao ano","Boleto","19.25","1103.25","Não"
"7025-WCBNE","PF","Não","47","Não","Sim","Website","1","Duas vezes ao ano","Transferência bancária","59.6","2754","Não"
"5756-JYOJT","PJ","Não","11","Não","Não","Website","1","Uma vez ao ano","Boleto","64.9","697.25","Não"
"4710-FDUIZ","PF","Sim","56","Não","Sim","Mesa","0","Uma vez ao ano","Boleto","100.3","5614.45","Sim"
"6030-REHUX","PJ","Sim","28","Sim","Sim","Mesa","1","Semestral","Débito automático","110.85","3204.4","Não"
"9548-LIGTA","PF","Sim","61","Sim","Não","Website","0","Duas vezes ao ano","PIX","81.05","4747.65","Não"
"5150-LJNSR","PF","Sim","31","Não","Sim","Mesa","0","Uma vez ao ano","Transferência bancária","98.05","3082.1","Não"
"8270-RKSAP","PF","Não","9","Sim","Não","Mesa","0","Semestral","Débito automático","70.5","597.9","Não"
"6522-YRBXD","PF","Sim","35","Sim","Sim","Mesa","1","Semestral","Débito automático","94.55","3365.4","Não"
"2640-LYMOV","PF","Não","2","Sim","Não","Não","0","Semestral","PIX","19.65","38.8","Não"
"1218-VKFPE","PJ","Sim","12","Não","Não","Não","0","Semestral","PIX","19","233.55","Sim"
"3627-FHKBK","PJ","Não","1","Não","Não","Mesa","1","Semestral","PIX","75.3","75.3","Sim"
"2865-TCHJW","PJ","Não","4","Sim","Sim","Mesa","1","Semestral","Débito automático","89.2","346.2","Sim"
"1423-BMPBQ","PJ","Sim","1","Sim","Não","Não","0","Semestral","PIX","19","19","Não"
"2393-DIVAI","PJ","Não","3","Sim","Não","Não","0","Semestral","PIX","20","61.7","Não"
"5192-EBGOV","PJ","Não","1","Sim","Sim","Mesa","1","Semestral","Débito automático","85.7","85.7","Sim"
"4568-KNYWR","PF","Não","52","Sim","Não","Website","0","Duas vezes ao ano","Boleto","63.25","3342.45","Não"
"8752-IMQOS","PF","Sim","5","Não","Não","Não","0","Uma vez ao ano","PIX","20.1","85.1","Não"
"0742-LAFQK","PF","Sim","72","Sim","Sim","Mesa","0","Duas vezes ao ano","Débito automático","99.15","7422.1","Não"
"0795-LAFGP","PF","Sim","71","Não","Sim","Website","0","Duas vezes ao ano","Débito automático","90.4","6668.05","Não"
"0619-OLYUR","PF","Sim","72","Sim","Sim","Mesa","0","Duas vezes ao ano","Boleto","111.9","8071.05","Não"
"5512-IDZEI","PF","Sim","46","Não","Sim","Não","0","Uma vez ao ano","Débito automático","24.9","1174.8","Não"
"0459-SPZHJ","PF","Sim","63","Não","Sim","Website","0","Duas vezes ao ano","Boleto","83.5","5435","Não"
"0215-BQKGS","PF","Não","30","Sim","Não","Mesa","0","Semestral","Boleto","84.3","2438.6","Não"
"9244-ZVAPM","PF","Não","1","Não","Não","Website","0","Semestral","PIX","45.6","45.6","Não"
"0719-SYFRB","PJ","Não","12","Sim","Sim","Website","1","Semestral","PIX","61.65","713.75","Sim"
"8208-EUMTE","PF","Não","16","Não","Somente telefone","Website","0","Duas vezes ao ano","PIX","54.85","916.15","Não"
"5172-MIGPM","PF","Não","4","Não","Sim","Website","0","Semestral","PIX","65.55","237.2","Não"
"1710-RCXUS","PF","Sim","51","Sim","Sim","Mesa","0","Uma vez ao ano","Boleto","90.35","4614.55","Não"
"0374-FIUCA","PF","Sim","65","Sim","Não","Não","0","Duas vezes ao ano","Boleto","20.4","1414.45","Não"
"5839-SUYVZ","PF","Não","16","Sim","Não","Mesa","0","Semestral","Boleto","74.55","1170.5","Não"
"5173-ZXXXL","PF","Não","2","Não","Não","Não","0","Uma vez ao ano","PIX","19.95","47.7","Não"
"1096-ADRUX","PJ","Sim","66","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","74.25","4859.25","Não"
"2001-MCUUW","PF","Não","46","Não","Sim","Mesa","0","Duas vezes ao ano","Débito automático","108.65","4903.2","Não"
"2731-GJRDG","PJ","Não","32","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","109.55","3608","Não"
"4723-BEGSG","PF","Sim","72","Não","Sim","Website","0","Duas vezes ao ano","Boleto","86.65","6094.25","Não"
"6516-NKQBO","PF","Sim","38","Não","Não","Website","0","Duas vezes ao ano","Boleto","81","3084.9","Não"
"8672-OAUPW","PF","Não","51","Não","Não","Website","0","Uma vez ao ano","Boleto","47.85","2356.75","Não"
"8207-DMRVL","PF","Sim","72","Não","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","114.55","8306.05","Não"
"3419-SNJJD","PJ","Sim","65","Não","Sim","Mesa","1","Semestral","Transferência bancária","105.25","6786.4","Sim"
"6543-CPZMK","PF","Sim","9","Sim","Somente telefone","Website","0","Semestral","Débito automático","29.95","248.95","Sim"
"4765-OXPPD","PJ","Sim","9","Não","Não","Website","1","Semestral","PIX","65","663.05","Sim"
"2804-ETQDK","PF","Não","66","Não","Não","Não","0","Duas vezes ao ano","PIX","20.55","1357.1","Não"
"6689-VRRTK","PJ","Não","44","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","109.8","4860.35","Não"
"7138-GIRSH","PF","Não","50","Não","Sim","Website","0","Duas vezes ao ano","Transferência bancária","69.5","3418.2","Não"
"9396-ZSFLL","PJ","Não","15","Não","Sim","Website","1","Semestral","PIX","48.85","631.4","Não"
"6464-KEXXH","PF","Não","8","Sim","Somente telefone","Website","0","Semestral","Boleto","25.25","186.3","Não"
"7134-MJPDY","PJ","Não","66","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","102.85","6976.75","Não"
"5240-CAOYT","PJ","Não","57","Sim","Sim","Mesa","1","Semestral","Transferência bancária","87.55","4884.85","Não"
"4059-IIEBK","PJ","Não","7","Sim","Sim","Mesa","1","Semestral","Transferência bancária","78.55","522.95","Não"
"4881-JVQOD","PF","Sim","10","Sim","Somente telefone","Website","1","Semestral","Transferência bancária","34.55","362.6","Não"
"0516-UXRMT","PJ","Não","62","Sim","Sim","Mesa","1","Uma vez ao ano","Débito automático","92.05","5755.8","Não"
"4851-BQDNX","PF","Sim","40","Sim","Não","Mesa","0","Uma vez ao ano","Débito automático","85.05","3355.65","Não"
"5148-HKFIR","PJ","Não","20","Não","Não","Não","0","Duas vezes ao ano","PIX","19.7","406.95","Não"
"1009-IRMNA","PJ","Não","7","Não","Não","Não","0","Semestral","Transferência bancária","20","137.6","Sim"
"3003-CMDUU","PJ","Sim","25","Sim","Não","Mesa","1","Semestral","Débito automático","95.15","2395.7","Não"
"5016-IBERQ","PF","Sim","23","Não","Sim","Mesa","0","Semestral","Débito automático","84.25","1968.1","Não"
"6797-UCJHZ","PJ","Sim","66","Não","Sim","Mesa","1","Uma vez ao ano","Boleto","104.6","6819.45","Não"
"2469-DTSGX","PJ","Não","72","Não","Sim","Mesa","1","Duas vezes ao ano","Débito automático","111.65","7943.45","Não"
"4554-YGZIH","PF","Sim","49","Não","Sim","Mesa","1","Semestral","Boleto","90.05","4547.25","Sim"
"5099-BAILX","PF","Sim","43","Sim","Sim","Mesa","1","Semestral","Transferência bancária","110.75","4687.9","Sim"
"9931-KGHOA","PJ","Sim","46","Não","Sim","Website","1","Semestral","Transferência bancária","55","2473.95","Não"
"1775-KWJKQ","PF","Sim","72","Não","Sim","Website","0","Duas vezes ao ano","Boleto","89.85","6562.9","Não"
"7665-VIGUD","PF","Não","10","Não","Não","Não","0","Uma vez ao ano","PIX","20.35","176.3","Não"
"9411-TPQQV","PJ","Não","40","Sim","Somente telefone","Website","0","Uma vez ao ano","Transferência bancária","54.55","2236.2","Não"
"7207-RMRDB","PJ","Sim","65","Sim","Sim","Mesa","1","Semestral","Débito automático","105.5","6985.65","Sim"
"7954-MLBUN","PF","Não","31","Não","Não","Mesa","0","Duas vezes ao ano","Transferência bancária","99.45","3109.9","Não"
"2077-DDHJK","PJ","Sim","68","Não","Sim","Website","1","Duas vezes ao ano","Boleto","70.9","4911.35","Não"
"4913-EHYUI","PF","Sim","56","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","104.55","5794.65","Sim"
"0195-IESCP","PF","Sim","10","Sim","Sim","Mesa","0","Semestral","Débito automático","85.25","855.3","Sim"
"9574-BOSMD","PF","Sim","68","Não","Sim","Não","0","Duas vezes ao ano","Transferência bancária","25.4","1620.2","Não"
"4580-TMHJU","PJ","Sim","43","Não","Não","Website","1","Semestral","Débito automático","56.15","2499.3","Sim"
"0970-ETWGE","PF","Não","1","Sim","Não","Mesa","0","Semestral","Débito automático","89.55","89.55","Sim"
"4908-XAXAY","PJ","Não","49","Sim","Não","Mesa","1","Uma vez ao ano","Transferência bancária","89.85","4287.2","Não"
"8404-VLQFB","PJ","Sim","15","Sim","Sim","Não","0","Semestral","Débito automático","25.25","394.85","Não"
"1626-ERCMM","PF","Sim","20","Sim","Sim","Mesa","1","Semestral","Débito automático","94.55","1899.65","Sim"
"0887-HJGAR","PF","Não","1","Sim","Não","Website","0","Semestral","PIX","45.7","45.7","Sim"
"2391-IPLOP","PF","Sim","50","Sim","Sim","Website","0","Uma vez ao ano","Débito automático","69.65","3442.15","Não"
"5644-PDMZC","PJ","Não","2","Não","Sim","Mesa","1","Semestral","Débito automático","89.5","161.5","Sim"
"3509-GWQGF","PF","Não","24","Não","Não","Mesa","1","Semestral","Boleto","70","1732.6","Não"
"9576-ANLXO","PJ","Não","3","Sim","Não","Mesa","1","Semestral","Transferência bancária","69.55","222.3","Sim"
"2024-BASKD","PJ","Não","1","Sim","Não","Mesa","1","Semestral","PIX","74.6","74.6","Sim"
"5845-BZZIB","PF","Sim","35","Não","Não","Não","0","Duas vezes ao ano","PIX","20.1","655.3","Não"
"1140-UKVZG","PJ","Não","17","Não","Sim","Não","0","Semestral","PIX","24.8","475.25","Não"
"4160-AMJTL","PJ","Não","8","Não","Não","Não","0","Semestral","Débito automático","19.65","164.3","Sim"
"5183-SNMJQ","PF","Não","10","Sim","Não","Mesa","0","Semestral","Boleto","95.1","865.1","Não"
"8100-PNJMH","PF","Sim","68","Sim","Sim","Website","0","Duas vezes ao ano","Boleto","88.85","6132.7","Não"
"7838-LAZFO","PF","Sim","45","Não","Não","Website","0","Uma vez ao ano","Transferência bancária","78.8","3597.5","Não"
"4464-JCOLN","PF","Sim","2","Não","Não","Não","0","Uma vez ao ano","PIX","19.85","35.9","Sim"
"2085-JVGAD","PF","Sim","37","Não","Não","Não","0","Semestral","Transferência bancária","20.35","697.65","Não"
"5650-VDUDS","PJ","Não","4","Sim","Somente telefone","Website","0","Semestral","PIX","24.25","96.05","Sim"
"8095-WANWK","PJ","Não","10","Não","Não","Website","1","Semestral","PIX","45.25","428.7","Não"
"3030-ZKIWL","PF","Não","1","Não","Não","Não","0","Semestral","PIX","20.05","20.05","Não"
"9565-FLVCG","PF","Sim","65","Sim","Sim","Website","0","Duas vezes ao ano","PIX","69.55","4459.15","Não"
"8755-OGKNA","PJ","Sim","57","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","19.5","1167.6","Não"
"2800-VEQXM","PJ","Não","3","Sim","Não","Mesa","1","Semestral","PIX","204.822","238.1","Não"
"7538-GWHML","PJ","Não","2","Não","Não","Mesa","1","Semestral","Débito automático","113.255","145.15","Sim"
"5533-RJFTJ","PF","Não","49","Sim","Somente telefone","Website","0","Semestral","Transferência bancária","30.2","1453.1","Não"
"3859-CVCET","PJ","Não","4","Não","Não","Website","1","Semestral","PIX","320.655","191.05","Sim"
"0214-JHPFW","PJ","Sim","70","Não","Somente telefone","Website","0","Duas vezes ao ano","Transferência bancária","655.244","4039.3","Não"
"5642-MHDQT","PJ","Sim","53","Sim","Não","Não","0","Uma vez ao ano","Transferência bancária","690.056","1039.45","Não"
"3088-FVYWK","PF","Sim","53","Não","Sim","Não","0","Duas vezes ao ano","Boleto","25.55","1336.1","Não"
"3276-HDUEG","PJ","Não","1","Sim","Sim","Mesa","1","Semestral","PIX","259.922","75.05","Sim"
"9092-GDZKO","PF","Não","22","Sim","Sim","Não","0","Semestral","Boleto","24.85","493.4","Não"
"0823-HSCDJ","PF","Não","52","Sim","Somente telefone","Website","1","Semestral","Débito automático","49.15","2550.9","Sim"
"3729-OWRVL","PF","Não","65","Sim","Sim","Mesa","1","Duas vezes ao ano","Débito automático","110.35","7246.15","Não"
"2324-AALNão","PJ","Não","48","Não","Sim","Não","0","Uma vez ao ano","Transferência bancária","155.311","1203.95","Não"
"0822-GAVAP","PJ","Não","2","Sim","Somente telefone","Website","0","Semestral","Débito automático","164.711","62.25","Sim"
"5760-IFJOZ","PF","Não","3","Não","Sim","Mesa","0","Semestral","PIX","107.95","313.6","Não"
"2826-UWHIS","PF","Sim","45","Não","Sim","Mesa","0","Semestral","Transferência bancária","81.4","3775.85","Não"
"1448-PWKYE","PF","Sim","1","Não","Não","Mesa","0","Semestral","Débito automático","80","80","Sim"
"7501-IWUNG","PJ","Sim","61","Sim","Não","Website","1","Duas vezes ao ano","Transferência bancária","196.351","4616.05","Não"
"4957-TREIR","PF","Não","3","Sim","Não","Website","0","Semestral","Boleto","64.4","195.65","Não"
"7251-LJBQN","PJ","Não","40","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","166.151","4188.4","Não"
"8040-MNRTF","PJ","Não","1","Não","Não","Mesa","1","Semestral","PIX","199.911","71.1","Não"
"1536-HBSWP","PJ","Não","1","Sim","Não","Website","1","Semestral","Débito automático","714.811","49.9","Não"
"5313-FPXWG","PF","Não","51","Sim","Sim","Não","0","Uma vez ao ano","Transferência bancária","24.6","1266.4","Não"
"0067-DKWBL","PF","Não","2","Sim","Não","Website","1","Semestral","Débito automático","49.25","91.1","Sim"
"0946-FKYTX","PF","Não","52","Não","Somente telefone","Website","0","Uma vez ao ano","PIX","30.1","1623.4","Não"
"5076-YVXCM","PF","Não","51","Não","Sim","Mesa","0","Semestral","Transferência bancária","83.4","4149.45","Não"
"8262-COGGB","PF","Não","1","Sim","Não","Não","0","Semestral","PIX","20.45","20.45","Não"
"6663-JOCQO","PF","Sim","31","Sim","Sim","Website","0","Uma vez ao ano","Transferência bancária","75.25","2344.5","Não"
"9620-QJREV","PF","Não","47","Não","Não","Não","0","Uma vez ao ano","Boleto","20.55","1013.05","Não"
"2276-YDAVZ","PJ","Não","3","Sim","Sim","Mesa","1","Semestral","Boleto","917.851","270.7","Sim"
"2682-KEVRP","PJ","Não","22","Sim","Não","Não","0","Uma vez ao ano","PIX","619.211","417","Não"
"2480-JZOSN","PJ","Sim","1","Sim","Não","Não","0","Semestral","PIX","201.751","20.65","Não"
"0078-XZMHT","PF","Sim","72","Sim","Sim","Website","0","Duas vezes ao ano","Transferência bancária","85.15","6316.2","Não"
"5896-NPFWW","PF","Sim","3","Sim","Não","Website","0","Semestral","Débito automático","50.15","168.15","Sim"
"9978-HYCIN","PF","Sim","47","Sim","Não","Mesa","1","Uma vez ao ano","Transferência bancária","84.95","4018.05","Não"
"8338-QIUNR","PF","Sim","72","Sim","Sim","Website","0","Duas vezes ao ano","Boleto","66.5","4811.6","Não"
"1525-LNLOJ","PF","Sim","66","Sim","Sim","Website","0","Duas vezes ao ano","Transferência bancária","63.3","4189.7","Não"
"9450-TRJUU","PF","Não","35","Não","Sim","Mesa","0","Semestral","Débito automático","83.15","2848.45","Não"
"1766-GKNMI","PF","Não","29","Sim","Sim","Mesa","0","Semestral","Débito automático","84.9","2516.2","Não"
"6942-LBFDP","PJ","Não","2","Sim","Não","Não","0","Semestral","PIX","791.851","33.6","Não"
"1456-TWCGB","PF","Não","4","Não","Não","Website","0","Semestral","PIX","49.25","208.45","Não"
"7133-VBDCG","PJ","Não","25","Sim","Não","Mesa","1","Semestral","Transferência bancária","761.211","2015.35","Sim"
"7596-ZYWBB","PJ","Não","65","Sim","Não","Website","1","Duas vezes ao ano","PIX","841.523","3739.8","Não"
"8329-UTMVM","PF","Não","27","Sim","Sim","Mesa","1","Uma vez ao ano","Transferência bancária","104.65","2964","Não"
"3014-WJKSM","PF","Sim","29","Sim","Não","Mesa","0","Semestral","Boleto","75.3","2263.4","Não"
"3347-YJZZE","PF","Sim","29","Não","Sim","Website","0","Semestral","Boleto","80.1","2211.8","Não"
"1029-QFBEN","PF","Não","1","Não","Não","Não","0","Semestral","PIX","19.55","19.55","Sim"
"7929-DMBCV","PJ","Sim","20","Sim","Não","Mesa","1","Semestral","PIX","280.652","1683.7","Não"
"9661-JALZV","PJ","Não","58","Sim","Sim","Não","0","Duas vezes ao ano","Boleto","264.153","1519","Não"
"5433-KYGHE","PJ","Não","14","Sim","Sim","Mesa","1","Semestral","PIX","86","1164.05","Não"
"4312-KFRXN","PF","Sim","72","Não","Sim","Não","0","Duas vezes ao ano","PIX","25.4","1710.9","Não"
"5575-TPIZQ","PF","Não","46","Sim","Sim","Mesa","0","Semestral","Boleto","89.15","4245.55","Não"
"0114-IGABW","PJ","Sim","71","Não","Somente telefone","Website","0","Duas vezes ao ano","Transferência bancária","58.25","4145.9","Não"
"9944-AEXBM","PF","Não","32","Sim","Sim","Mesa","0","Semestral","Transferência bancária","85.65","2664.3","Não"
"1853-ARAAQ","PJ","Não","26","Sim","Somente telefone","Website","0","Semestral","Boleto","50.35","1277.5","Não"
"6952-OMNWB","PF","Sim","68","Sim","Sim","Mesa","1","Semestral","Boleto","80.35","5589.3","Não"
"4697-LUPSU","PF","Sim","2","Não","Não","Não","0","Uma vez ao ano","PIX","20.2","34.75","Não"
"8434-VGEQQ","PF","Sim","61","Não","Não","Não","0","Duas vezes ao ano","Boleto","20.55","1305.95","Não"
"4952-YSOGZ","PJ","Sim","4","Sim","Sim","Mesa","1","Semestral","Débito automático","85.95","381.3","Sim"
"1589-AGTLK","PF","Não","3","Sim","Não","Website","0","Semestral","Débito automático","45.35","141.5","Sim"
"5244-IRFIH","PF","Sim","33","Sim","Sim","Mesa","1","Semestral","Débito automático","94.5","3105.55","Sim"
"6549-YMFAW","PF","Sim","9","Sim","Não","Não","1","Semestral","PIX","21.25","204.55","Não"
"4950-HKQTE","PJ","Não","22","Não","Sim","Não","0","Duas vezes ao ano","PIX","26.25","605.9","Não"
"6786-OBWQR","PJ","Sim","5","Sim","Não","Mesa","1","Semestral","Débito automático","80.85","356.1","Não"
"2684-EIWEO","PJ","Não","30","Não","Sim","Mesa","1","Semestral","Boleto","91.7","2758.15","Sim"
"2753-JMMCV","PF","Não","65","Sim","Sim","Website","0","Duas vezes ao ano","Boleto","74.2","4805.65","Não"
"6439-GTPCA","PJ","Não","45","Sim","Sim","Mesa","1","Semestral","Débito automático","87.25","3941.7","Sim"
"6621-YOBKI","PF","Não","5","Não","Não","Não","0","Semestral","PIX","20.35","92.75","Não"
"1216-JWVUX","PF","Sim","25","Sim","Não","Mesa","0","Semestral","Débito automático","75.5","1901.05","Não"
"7564-GHCVB","PJ","Sim","72","Não","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","79.05","5730.7","Não"
"1173-NãoEYG","PJ","Sim","27","Não","Sim","Mesa","1","Semestral","Transferência bancária","90.15","2423.4","Não"
"7595-EHCDL","PF","Sim","32","Não","Somente telefone","Website","0","Semestral","Boleto","50.6","1653.45","Não"
"6647-ZEDXT","PJ","Não","30","Não","Sim","Mesa","1","Uma vez ao ano","Boleto","110.45","3327.05","Não"
"2521-NPUZR","PF","Sim","70","Não","Não","Mesa","0","Duas vezes ao ano","Boleto","101","7085.5","Não"
"1307-TVUFB","PF","Não","42","Sim","Sim","Mesa","1","Semestral","Transferência bancária","79.35","3344.1","Não"
"7503-MIOGA","PJ","Sim","72","Sim","Sim","Website","1","Duas vezes ao ano","Transferência bancária","89.85","6697.35","Não"
"4381-MHQDC","PJ","Não","47","Sim","Sim","Website","1","Duas vezes ao ano","PIX","65","2879.9","Não"
"6923-JHPMP","PJ","Não","2","Sim","Não","Mesa","1","Semestral","Débito automático","80.45","137.1","Não"
"5138-WVKYJ","PF","Não","10","Não","Sim","Mesa","0","Semestral","Débito automático","98.55","1008.55","Sim"
"4018-PPNDW","PJ","Sim","61","Sim","Sim","Não","0","Duas vezes ao ano","PIX","24.1","1551.6","Não"
"1635-FJFCC","PJ","Não","5","Sim","Não","Website","1","Semestral","Boleto","44.05","202.15","Não"
"2499-AJYUA","PJ","Sim","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Boleto","110.8","7882.25","Não"
"6919-ELBGL","PF","Sim","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","114.95","8196.4","Não"
"3966-HRMZA","PJ","Não","3","Não","Não","Mesa","1","Semestral","PIX","75.05","202.9","Não"
"6425-JWTDV","PF","Sim","48","Não","Não","Não","0","Duas vezes ao ano","PIX","19.25","855.1","Não"
"8405-IGQFX","PJ","Não","63","Sim","Não","Mesa","1","Uma vez ao ano","Boleto","90.05","5817","Não"
"8224-IVVPA","PJ","Não","27","Sim","Não","Website","1","Semestral","PIX","56.7","1652.95","Não"
"9477-LGWQI","PF","Sim","70","Sim","Não","Website","0","Duas vezes ao ano","Boleto","80.15","5600.15","Não"
"1410-RSCMR","PF","Sim","7","Sim","Não","Website","0","Semestral","Boleto","71.35","515.75","Não"
"3115-CZMZD","PF","Não","0","Não","Não","Não","0","Duas vezes ao ano","PIX","20.25"," ","Não"
"0139-IVFJG","PJ","Sim","2","Não","Não","Mesa","1","Semestral","Débito automático","90.35","190.5","Não"
"6683-VLCTZ","PF","Não","20","Sim","Sim","Mesa","1","Semestral","Débito automático","98.55","1842.8","Sim"
"5730-DBDSI","PF","Não","66","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","19.7","1253.8","Não"
"0030-FNXPP","PJ","Não","3","Não","Não","Não","0","Semestral","PIX","19.85","57.2","Não"
"2189-WWOEW","PJ","Não","15","Sim","Não","Mesa","1","Semestral","Transferência bancária","85.9","1269.55","Sim"
"5684-FJVYR","PJ","Sim","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","90.35","6563.4","Não"
"4013-GUXND","PF","Não","1","Não","Não","Não","0","Semestral","PIX","20.8","20.8","Não"
"1894-IGFSG","PJ","Não","22","Não","Não","Mesa","1","Semestral","Débito automático","89.25","1907.85","Sim"
"7379-POKDZ","PF","Sim","3","Sim","Não","Mesa","0","Semestral","Débito automático","70.3","208.85","Sim"
"1266-NZYUI","PJ","Sim","72","Não","Sim","Website","1","Duas vezes ao ano","Transferência bancária","66.85","4758.8","Não"
"7969-FFOWG","PF","Sim","65","Não","Não","Não","0","Duas vezes ao ano","PIX","19.9","1292.6","Não"
"4718-DHSMV","PJ","Não","11","Sim","Somente telefone","Website","0","Semestral","PIX","35.8","363.15","Não"
"5175-WLYXL","PF","Não","22","Sim","Sim","Mesa","0","Semestral","PIX","78.85","1600.25","Não"
"7817-OMJNA","PF","Não","14","Não","Não","Não","0","Uma vez ao ano","Transferência bancária","20.4","275.7","Não"
"8728-SKJLR","PF","Não","41","Sim","Não","Mesa","0","Semestral","Débito automático","74.25","3089.1","Não"
"3137-NYQQI","PF","Sim","17","Não","Não","Website","0","Uma vez ao ano","PIX","64.8","1175.6","Não"
"7706-DZNKK","PF","Não","11","Sim","Não","Não","0","Semestral","Boleto","20.45","237.3","Não"
"0236-HFWSV","PF","Não","15","Sim","Sim","Mesa","0","Semestral","Débito automático","93.35","1444.65","Sim"
"3900-AQPHZ","PJ","Não","1","Não","Não","Não","0","Semestral","PIX","19.9","19.9","Sim"
"5842-POCOP","PJ","Sim","5","Sim","Não","Mesa","1","Semestral","PIX","88.9","454.15","Sim"
"2037-XJFUP","PF","Sim","33","Sim","Não","Mesa","0","Uma vez ao ano","Débito automático","95.8","3036.75","Sim"
"8823-RLPWL","PJ","Sim","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Boleto","110.65","8065.65","Não"
"9505-SQFSW","PJ","Sim","3","Não","Somente telefone","Website","0","Semestral","PIX","40.3","92.5","Não"
"7314-OXENN","PF","Não","2","Sim","Sim","Mesa","0","Semestral","Débito automático","82","184.65","Sim"
"3758-CKOQL","PJ","Sim","59","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","107","6152.3","Não"
"0322-CHQRU","PF","Não","2","Não","Não","Website","0","Semestral","Débito automático","45.35","89.5","Sim"
"5676-CFLYY","PF","Sim","71","Sim","Não","Website","0","Duas vezes ao ano","Boleto","73.35","5154.5","Não"
"7521-AFHAB","PJ","Sim","5","Não","Não","Website","1","Semestral","PIX","44.8","220.45","Não"
